Distance Power;Scale Algorithm;Scale Kernel;Size Kernel;Size Derivative Kernel;Curvature Tipping Point;Direction Tolerance;Mean Plausability;Min Plausability;Plausibility Cave 0;
1;0;6;0.1;0.1;0.1;0.05;0.873378;0.873378; 0.873378; 
1;0;6;0.1;0.1;0.1;0.09;0.873378;0.873378; 0.873378; 
1;0;6;0.1;0.1;0.1;0.13;0.993796;0.993796; 0.993796; 
1;0;6;0.1;0.1;0.1;0.17;0.993796;0.993796; 0.993796; 
1;0;6;0.1;0.1;0.1;0.21;0.874224;0.874224; 0.874224; 
1;0;6;0.1;0.1;0.1;0.25;0.864072;0.864072; 0.864072; 
1;0;6;0.1;0.1;0.2;0.05;0.998308;0.998308; 0.998308; 
1;0;6;0.1;0.1;0.2;0.09;0.998308;0.998308; 0.998308; 
1;0;6;0.1;0.1;0.2;0.13;0.868302;0.868302; 0.868302; 
1;0;6;0.1;0.1;0.2;0.17;0.868302;0.868302; 0.868302; 
1;0;6;0.1;0.1;0.2;0.21;0.998026;0.998026; 0.998026; 
1;0;6;0.1;0.1;0.2;0.25;0.987874;0.987874; 0.987874; 
1;0;6;0.1;0.1;0.3;0.05;0.999154;0.999154; 0.999154; 
1;0;6;0.1;0.1;0.3;0.09;0.999154;0.999154; 0.999154; 
1;0;6;0.1;0.1;0.3;0.13;0.999154;0.999154; 0.999154; 
1;0;6;0.1;0.1;0.3;0.17;0.999154;0.999154; 0.999154; 
1;0;6;0.1;0.1;0.3;0.21;0.998026;0.998026; 0.998026; 
1;0;6;0.1;0.1;0.3;0.25;0.987874;0.987874; 0.987874; 
1;0;6;0.1;0.1;0.4;0.05;0.992386;0.992386; 0.992386; 
1;0;6;0.1;0.1;0.4;0.09;0.992386;0.992386; 0.992386; 
1;0;6;0.1;0.1;0.4;0.13;0.992386;0.992386; 0.992386; 
1;0;6;0.1;0.1;0.4;0.17;0.992386;0.992386; 0.992386; 
1;0;6;0.1;0.1;0.4;0.21;0.992386;0.992386; 0.992386; 
1;0;6;0.1;0.1;0.4;0.25;0.991822;0.991822; 0.991822; 
1;0;6;0.1;0.1;0.5;0.05;0.992386;0.992386; 0.992386; 
